City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1hrs),Snow inches (last 1hrs)
0,Naze,JP,2022-07-09 19:49:40,28.3667,129.4833,81.52,91,7,9.04,clear sky,0.0,0.0
1,Rocha,UY,2022-07-09 19:52:49,-34.4833,-54.3333,65.05,88,53,12.28,broken clouds,0.0,0.0
2,Barrow,US,2022-07-09 19:49:52,71.2906,-156.7887,53.62,76,100,10.36,overcast clouds,0.0,0.0
3,Vaini,TO,2022-07-09 19:49:41,-21.2,-175.2,73.56,83,40,9.22,scattered clouds,0.0,0.0
4,Kavaratti,IN,2022-07-09 19:51:57,10.5669,72.642,81.16,82,95,21.03,overcast clouds,0.0,0.0
5,Saint-Philippe,RE,2022-07-09 19:51:26,-21.3585,55.7679,67.59,66,67,14.99,broken clouds,0.0,0.0
6,Punta Arenas,CL,2022-07-09 19:44:47,-53.15,-70.9167,33.91,60,20,11.5,few clouds,0.0,0.0
7,Hobart,AU,2022-07-09 19:47:45,-42.8794,147.3294,44.46,90,100,1.14,overcast clouds,0.0,0.0
8,Odweyne,SO,2022-07-09 19:56:03,9.4092,45.064,71.02,54,100,20.65,overcast clouds,0.0,0.0
9,Hermanus,ZA,2022-07-09 19:48:12,-34.4187,19.2345,58.8,80,0,8.28,light rain,0.1,0.0
10,Arraial Do Cabo,BR,2022-07-09 19:50:11,-22.9661,-42.0278,76.96,88,40,14.97,scattered clouds,0.0,0.0
11,Faya,SA,2022-07-09 19:49:51,18.3851,42.4509,69.91,43,100,7.78,moderate rain,1.78,0.0
12,Bowen,AU,2022-07-09 19:54:12,-20.0167,148.2333,55.13,75,0,6.98,clear sky,0.0,0.0
13,Rikitea,PF,2022-07-09 19:49:48,-23.1203,-134.9692,74.95,78,70,14.65,light rain,0.38,0.0
14,Nhulunbuy,AU,2022-07-09 19:56:03,-12.2333,136.7667,70.41,73,100,8.05,overcast clouds,0.0,0.0
15,Yellowknife,CA,2022-07-09 19:45:17,62.456,-114.3525,68.56,68,75,9.22,smoke,0.0,0.0
16,Sitka,US,2022-07-09 19:52:06,57.0531,-135.33,57.09,88,100,6.91,overcast clouds,0.0,0.0
17,Fomboni,KM,2022-07-09 19:51:11,-12.28,43.7425,77.74,64,5,13.91,clear sky,0.0,0.0
18,Ushuaia,AR,2022-07-09 19:49:18,-54.8,-68.3,28.06,93,100,20.71,light snow,0.0,0.0
19,Busselton,AU,2022-07-09 19:49:33,-33.65,115.3333,55.99,59,92,17.98,light rain,0.13,0.0
20,Iqaluit,CA,2022-07-09 19:48:56,63.7506,-68.5145,42.53,81,40,11.5,scattered clouds,0.0,0.0
21,Adrar,MR,2022-07-09 19:49:46,20.5022,-10.0711,103.66,10,4,4.54,clear sky,0.0,0.0
22,Port Elizabeth,ZA,2022-07-09 19:49:44,-33.918,25.5701,72.32,35,75,8.05,broken clouds,0.0,0.0
23,Bima,ID,2022-07-09 19:56:04,-8.4667,118.7167,73.47,94,8,4.0,clear sky,0.0,0.0
24,Nanortalik,GL,2022-07-09 19:49:35,60.1432,-45.2371,44.62,89,34,6.58,scattered clouds,0.0,0.0
25,Airai,TL,2022-07-09 19:50:47,-8.9266,125.4092,55.99,94,83,3.8,broken clouds,0.0,0.0
26,Meulaboh,ID,2022-07-09 19:56:05,4.1363,96.1285,76.53,89,100,3.78,light rain,0.19,0.0
27,Flin Flon,CA,2022-07-09 19:56:05,54.7682,-101.865,75.04,78,75,10.36,broken clouds,0.0,0.0
28,Half Moon Bay,US,2022-07-09 19:51:51,37.4636,-122.4286,82.54,70,75,19.57,broken clouds,0.0,0.0
29,Tuktoyaktuk,CA,2022-07-09 19:49:32,69.4541,-133.0374,50.0,93,100,8.05,mist,0.0,0.0
30,Albany,US,2022-07-09 19:46:16,42.6001,-73.9662,81.77,41,0,5.26,clear sky,0.0,0.0
31,Goderich,CA,2022-07-09 19:49:24,43.7501,-81.7165,66.52,63,4,16.11,clear sky,0.0,0.0
32,Hilo,US,2022-07-09 19:49:29,19.7297,-155.09,83.25,81,100,11.5,overcast clouds,0.0,0.0
33,Gat,IL,2022-07-09 19:56:06,31.61,34.7642,78.4,73,0,2.33,clear sky,0.0,0.0
34,Abnub,EG,2022-07-09 19:56:07,27.2696,31.1511,91.62,22,96,11.12,overcast clouds,0.0,0.0
35,Petropavlovsk-Kamchatskiy,RU,2022-07-09 19:56:07,53.0452,158.6483,72.19,83,0,6.71,clear sky,0.0,0.0
36,Gimli,CA,2022-07-09 19:56:07,50.6336,-96.9907,71.62,83,100,9.22,moderate rain,1.59,0.0
37,La Ronge,CA,2022-07-09 19:56:08,55.1001,-105.2842,75.45,57,75,12.66,broken clouds,0.0,0.0
38,Mount Gambier,AU,2022-07-09 19:49:40,-37.8333,140.7667,33.71,100,100,5.75,overcast clouds,0.0,0.0
39,Pisco,PE,2022-07-09 19:50:26,-13.7,-76.2167,65.01,77,15,9.22,haze,0.0,0.0
40,Cabo San Lucas,MX,2022-07-09 19:49:45,22.8909,-109.9124,95.61,63,91,5.17,overcast clouds,0.0,0.0
41,Monrovia,LR,2022-07-09 19:50:53,6.3005,-10.7969,74.97,85,100,11.01,light rain,0.51,0.0
42,Tautira,PF,2022-07-09 19:56:08,-17.7333,-149.15,76.69,72,79,16.91,broken clouds,0.0,0.0
43,Bayan,CN,2022-07-09 19:56:09,46.0833,127.4,61.41,77,0,4.68,clear sky,0.0,0.0
44,Plover,US,2022-07-09 19:56:09,44.4564,-89.544,81.3,44,0,8.05,clear sky,0.0,0.0
45,Kapaa,US,2022-07-09 19:49:25,22.0752,-159.319,80.92,83,75,14.97,broken clouds,0.0,0.0
46,Lorengau,PG,2022-07-09 19:51:24,-2.0226,147.2712,81.18,79,92,9.98,overcast clouds,0.0,0.0
47,Poum,NC,2022-07-09 19:52:31,-20.2333,164.0167,77.04,86,88,17.65,overcast clouds,0.0,0.0
48,Mar Del Plata,AR,2022-07-09 19:49:26,-38.0023,-57.5575,57.22,91,75,9.22,broken clouds,0.0,0.0
49,Saint-Georges,GD,2022-07-09 19:50:05,12.0564,-61.7485,87.48,70,20,20.71,few clouds,0.0,0.0
50,Dayong,CN,2022-07-09 19:56:10,25.0209,118.2898,76.91,94,77,2.04,broken clouds,0.0,0.0
51,Lakes Entrance,AU,2022-07-09 19:52:13,-37.8811,147.981,45.16,86,43,3.6,scattered clouds,0.0,0.0
52,Pedro Velho,BR,2022-07-09 19:56:10,-6.4392,-35.2214,75.27,86,5,10.71,clear sky,0.0,0.0
53,Saldanha,ZA,2022-07-09 19:50:37,-33.0117,17.9442,53.65,93,3,16.58,clear sky,0.0,0.0
54,Saint-Augustin,CA,2022-07-09 19:56:10,51.226,-58.6502,62.04,60,14,20.0,few clouds,0.0,0.0
55,Pangnirtung,CA,2022-07-09 19:50:49,66.1451,-65.7125,46.4,87,75,21.85,broken clouds,0.0,0.0
56,Pasighat,IN,2022-07-09 19:56:11,28.0667,95.3333,78.57,90,34,2.86,scattered clouds,0.0,0.0
57,Qaanaaq,GL,2022-07-09 19:49:26,77.484,-69.3632,43.68,75,69,1.23,broken clouds,0.0,0.0
58,Ponta Do Sol,PT,2022-07-09 19:46:54,32.6667,-17.1,75.83,75,4,1.39,clear sky,0.0,0.0
59,Mataura,NZ,2022-07-09 19:49:30,-46.1927,168.8643,35.47,91,41,1.86,scattered clouds,0.0,0.0
60,Hongjiang,CN,2022-07-09 19:56:11,27.11,109.9956,76.84,94,0,3.71,clear sky,0.0,0.0
61,Butaritari,KI,2022-07-09 19:49:27,3.0707,172.7902,81.5,79,32,12.33,light rain,0.13,0.0
62,San Cristobal,VE,2022-07-09 19:47:39,7.7669,-72.225,84.38,53,33,6.49,scattered clouds,0.0,0.0
63,Codrington,AU,2022-07-09 19:45:22,-38.2667,141.9667,41.83,95,2,9.66,clear sky,0.0,0.0
64,Graaff-Reinet,ZA,2022-07-09 19:56:12,-32.2522,24.5308,63.91,43,0,9.44,clear sky,0.0,0.0
65,Saskylakh,RU,2022-07-09 19:50:17,71.9167,114.0833,50.14,73,100,7.99,overcast clouds,0.0,0.0
66,Zapolyarnyy,RU,2022-07-09 19:56:12,69.4154,30.8136,56.48,85,98,7.14,overcast clouds,0.0,0.0
67,Bluff,NZ,2022-07-09 19:49:36,-46.6,168.3333,35.8,74,61,3.02,broken clouds,0.0,0.0
68,Komsomolskiy,UZ,2022-07-09 19:56:13,40.4272,71.7189,79.52,34,100,6.91,overcast clouds,0.0,0.0
69,Verkhoyansk,RU,2022-07-09 19:56:13,67.5447,133.385,49.23,82,100,3.38,overcast clouds,0.0,0.0
70,Norman Wells,CA,2022-07-09 19:49:44,65.282,-126.8329,77.04,47,75,11.5,smoke,0.0,0.0
71,Ha Giang,VN,2022-07-09 19:56:14,22.8333,104.9833,76.21,99,41,0.65,scattered clouds,0.0,0.0
72,Lebu,CL,2022-07-09 19:50:19,-37.6167,-73.65,48.83,83,100,4.88,overcast clouds,0.0,0.0
73,Morros,BR,2022-07-09 19:56:14,-9.4467,-46.3003,89.06,21,4,8.05,clear sky,0.0,0.0
74,Victoria,HK,2022-07-09 19:44:49,22.2855,114.1577,85.32,86,8,11.99,clear sky,0.0,0.0
75,Mundo Nuevo,MX,2022-07-09 19:56:14,18.7,-95.5,85.42,65,8,8.7,clear sky,0.0,0.0
76,Jacareacanga,BR,2022-07-09 19:56:15,-6.2222,-57.7528,88.16,51,91,4.07,overcast clouds,0.0,0.0
77,Carnarvon,AU,2022-07-09 19:49:35,-24.8667,113.6333,66.27,100,75,8.05,broken clouds,0.0,0.0
78,Bredasdorp,ZA,2022-07-09 19:49:54,-34.5322,20.0403,53.71,71,0,6.02,clear sky,0.0,0.0
79,Te Anau,NZ,2022-07-09 19:52:59,-45.4167,167.7167,30.7,91,42,3.24,scattered clouds,0.0,0.0
80,Hami,CN,2022-07-09 19:51:43,42.8,93.45,83.82,14,100,16.44,overcast clouds,0.0,0.0
81,Klaksvik,FO,2022-07-09 19:49:27,62.2266,-6.589,50.92,98,100,12.35,light rain,0.16,0.0
82,Soyo,AO,2022-07-09 19:50:14,-6.1349,12.3689,70.32,88,97,8.9,overcast clouds,0.0,0.0
83,Khatanga,RU,2022-07-09 19:50:25,71.9667,102.5,46.09,93,100,1.39,overcast clouds,0.0,0.0
84,Hithadhoo,MV,2022-07-09 19:49:47,-0.6,73.0833,82.27,76,6,5.37,clear sky,0.0,0.0
85,Tasiilaq,GL,2022-07-09 19:47:01,65.6145,-37.6368,48.36,80,99,1.74,overcast clouds,0.0,0.0
86,Atuona,PF,2022-07-09 19:48:08,-9.8,-139.0333,77.86,77,41,19.64,scattered clouds,0.0,0.0
87,Dikson,RU,2022-07-09 19:49:56,73.5069,80.5464,32.99,91,100,6.85,overcast clouds,0.0,0.0
88,Ribeira Grande,PT,2022-07-09 19:50:51,38.5167,-28.7,70.2,68,40,11.5,scattered clouds,0.0,0.0
89,Kidal,ML,2022-07-09 19:56:16,18.4411,1.4078,97.54,10,1,6.13,clear sky,0.0,0.0
90,Yumen,CN,2022-07-09 19:50:08,40.2833,97.2,74.52,18,16,5.3,few clouds,0.0,0.0
91,Juneau,US,2022-07-09 19:51:00,58.3019,-134.4197,62.83,83,100,6.91,overcast clouds,0.0,0.0
92,Kingsport,US,2022-07-09 19:52:46,36.5484,-82.5618,83.08,79,75,6.91,broken clouds,0.0,0.0
93,Kavieng,PG,2022-07-09 19:49:38,-2.5744,150.7967,81.12,72,72,14.88,broken clouds,0.0,0.0
94,Yaguara,CO,2022-07-09 19:56:17,2.6636,-75.5175,86.45,54,62,10.69,broken clouds,0.0,0.0
95,Upernavik,GL,2022-07-09 19:47:45,72.7868,-56.1549,40.01,83,6,8.84,clear sky,0.0,0.0
96,Namibe,AO,2022-07-09 19:50:43,-15.1961,12.1522,63.09,83,0,9.19,clear sky,0.0,0.0
97,Haines Junction,CA,2022-07-09 19:56:17,60.7522,-137.5108,64.35,48,100,4.61,overcast clouds,0.0,0.0
98,Rosarito,MX,2022-07-09 19:52:52,32.3333,-117.0333,90.63,63,21,12.77,few clouds,0.0,0.0
99,Buchanan,LR,2022-07-09 19:50:17,5.8808,-10.0467,75.63,86,100,10.2,overcast clouds,0.0,0.0
100,Ginda,IN,2022-07-09 19:56:18,30.6945,78.4932,66.06,97,100,0.65,overcast clouds,0.0,0.0
101,Sola,VU,2022-07-09 19:56:18,-13.8833,167.55,80.13,79,35,17.9,scattered clouds,0.0,0.0
102,Xunchang,CN,2022-07-09 19:54:13,28.4543,104.715,77.43,81,4,3.15,clear sky,0.0,0.0
103,Kahului,US,2022-07-09 19:50:07,20.8947,-156.47,82.42,57,40,24.16,scattered clouds,0.0,0.0
104,Omboue,GA,2022-07-09 19:56:19,-1.5746,9.2618,70.97,83,71,9.75,broken clouds,0.0,0.0
105,Beringovskiy,RU,2022-07-09 19:49:57,63.05,179.3167,49.57,87,100,16.17,overcast clouds,0.0,0.0
106,Nuuk,GL,2022-07-09 19:56:20,64.1835,-51.7216,38.88,93,100,8.01,overcast clouds,0.0,0.0
107,Castro,BR,2022-07-09 19:48:22,-24.7911,-50.0119,65.88,63,12,3.22,few clouds,0.0,0.0
108,Mahebourg,MU,2022-07-09 19:51:12,-20.4081,57.7,68.29,64,20,11.5,few clouds,0.0,0.0
109,Sept-Iles,CA,2022-07-09 19:48:02,50.2001,-66.3821,68.05,51,75,18.41,broken clouds,0.0,0.0
110,Cape Town,ZA,2022-07-09 19:47:07,-33.9258,18.4232,58.12,89,75,9.22,broken clouds,0.0,0.0
111,Sistranda,NO,2022-07-09 19:50:41,63.7256,8.834,51.76,87,100,16.04,overcast clouds,0.0,0.0
112,College,US,2022-07-09 19:49:10,64.8569,-147.8028,74.21,60,75,6.91,smoke,0.0,0.0
113,North Bend,US,2022-07-09 19:54:11,43.4065,-124.2243,72.25,80,40,12.66,scattered clouds,0.0,0.0
114,Laguna,US,2022-07-09 19:51:58,38.421,-121.4238,90.34,43,0,6.91,clear sky,0.0,0.0
115,Baker City,US,2022-07-09 19:56:21,44.7749,-117.8344,79.59,40,76,7.7,broken clouds,0.0,0.0
116,Saint Marys,US,2022-07-09 19:56:22,30.7305,-81.5465,85.01,89,75,3.44,broken clouds,0.0,0.0
117,Torbay,CA,2022-07-09 19:51:35,47.6666,-52.7314,65.28,80,75,14.97,broken clouds,0.0,0.0
118,Kushmurun,KZ,2022-07-09 19:52:07,52.4503,64.6311,67.46,64,43,6.33,scattered clouds,0.0,0.0
119,Kamenka,RU,2022-07-09 19:51:10,51.3223,42.7678,68.04,65,74,10.31,broken clouds,0.0,0.0
120,Itoman,JP,2022-07-09 19:50:03,26.1247,127.6694,84.22,89,20,8.05,few clouds,0.0,0.0
121,Coffs Harbour,AU,2022-07-09 19:56:22,-30.3,153.1333,42.13,93,0,0.0,clear sky,0.0,0.0
122,Puerto Ayora,EC,2022-07-09 19:47:03,-0.7393,-90.3518,78.76,86,82,8.99,broken clouds,0.0,0.0
123,Bethel,US,2022-07-09 19:47:26,41.3712,-73.414,86.02,42,0,4.61,clear sky,0.0,0.0
124,Jamestown,US,2022-07-09 19:49:27,42.097,-79.2353,80.53,41,0,6.91,clear sky,0.0,0.0
125,Longyearbyen,SJ,2022-07-09 19:50:13,78.2186,15.6401,45.0,67,76,8.75,broken clouds,0.0,0.0
126,Urengoy,RU,2022-07-09 19:52:27,65.9667,78.3667,51.98,82,1,10.45,clear sky,0.0,0.0
127,Arona,ES,2022-07-09 19:56:24,28.0996,-16.681,81.7,73,0,5.75,clear sky,0.0,0.0
128,Terdal,IN,2022-07-09 19:56:24,16.5,75.05,71.69,89,100,16.62,overcast clouds,0.0,0.0
129,Portland,US,2022-07-09 19:50:15,45.5234,-122.6762,80.56,53,40,5.99,scattered clouds,0.0,0.0
130,Spasskoye,RU,2022-07-09 19:56:25,44.6108,132.7969,62.87,97,66,5.7,broken clouds,0.0,0.0
131,Chapais,CA,2022-07-09 19:52:08,49.7834,-74.8492,64.18,28,6,8.5,clear sky,0.0,0.0
132,Anacortes,US,2022-07-09 19:56:25,48.5126,-122.6127,74.75,77,20,3.0,haze,0.0,0.0
133,Chichimila,MX,2022-07-09 19:56:26,20.6167,-88.2167,78.85,32,85,3.87,overcast clouds,0.0,0.0
134,Coquimbo,CL,2022-07-09 19:51:54,-29.9533,-71.3436,60.53,67,75,11.5,broken clouds,0.0,0.0
135,Wajir,KE,2022-07-09 19:56:26,1.7471,40.0573,76.46,55,69,19.46,broken clouds,0.0,0.0
136,Souillac,MU,2022-07-09 19:49:54,-20.5167,57.5167,68.38,64,20,11.5,few clouds,0.0,0.0
137,Arlit,NE,2022-07-09 19:56:27,18.7369,7.3853,94.71,11,5,5.93,clear sky,0.0,0.0
138,Maceio,BR,2022-07-09 19:51:21,-9.6658,-35.7353,74.64,88,100,8.05,mist,0.0,0.0
139,Warwick,US,2022-07-09 19:53:11,41.7001,-71.4162,85.77,52,0,3.0,clear sky,0.0,0.0
140,San Vicente,AR,2022-07-09 19:56:27,-26.6167,-54.1333,73.76,53,17,5.53,few clouds,0.0,0.0
141,Leningradskiy,RU,2022-07-09 19:52:32,69.3833,178.4167,39.09,93,100,9.24,overcast clouds,0.0,0.0
142,Snezhnogorsk,RU,2022-07-09 19:56:28,69.1933,33.2531,53.38,87,100,4.9,overcast clouds,0.0,0.0
143,Sunrise Manor,US,2022-07-09 19:56:28,36.2111,-115.0731,110.39,7,0,3.0,clear sky,0.0,0.0
144,Talnakh,RU,2022-07-09 19:49:40,69.4865,88.3972,47.21,95,100,18.07,light rain,0.18,0.0
145,Saint Anthony,US,2022-07-09 19:50:09,45.0205,-93.218,85.08,56,75,10.36,broken clouds,0.0,0.0
146,Ahipara,NZ,2022-07-09 19:49:36,-35.1667,173.1667,57.38,93,48,4.25,scattered clouds,0.0,0.0
147,Leh,IN,2022-07-09 19:50:29,34.1667,77.5833,61.68,58,100,4.72,overcast clouds,0.0,0.0
148,Chokurdakh,RU,2022-07-09 19:50:13,70.6333,147.9167,50.4,49,51,5.41,broken clouds,0.0,0.0
149,Port Lincoln,AU,2022-07-09 19:50:19,-34.7333,135.8667,49.24,80,0,13.4,clear sky,0.0,0.0
150,Lunca Ilvei,RO,2022-07-09 19:56:29,47.3667,24.9833,55.87,93,81,3.67,broken clouds,0.0,0.0
151,Neiba,DO,2022-07-09 19:56:29,18.5,-71.4167,88.38,57,95,11.83,overcast clouds,0.0,0.0
152,Damietta,EG,2022-07-09 19:56:30,31.4165,31.8133,80.49,68,0,9.33,clear sky,0.0,0.0
153,Khash,IR,2022-07-09 19:56:30,28.2211,61.2158,87.1,13,98,8.75,overcast clouds,0.0,0.0
154,Thompson,CA,2022-07-09 19:50:43,55.7435,-97.8558,71.76,68,75,6.91,broken clouds,0.0,0.0
155,Zhigansk,RU,2022-07-09 19:52:32,66.7697,123.3711,49.51,77,100,6.53,overcast clouds,0.0,0.0
156,Vestmannaeyjar,IS,2022-07-09 19:50:20,63.4427,-20.2734,51.73,97,100,20.51,overcast clouds,0.0,0.0
157,Husavik,IS,2022-07-09 19:50:34,66.0449,-17.3389,55.08,76,100,4.74,overcast clouds,0.0,0.0
158,Cobourg,DE,2022-07-09 19:56:31,50.2667,10.9667,64.74,64,100,3.31,overcast clouds,0.0,0.0
159,Georgetown,MY,2022-07-09 19:45:15,5.4112,100.3354,84.13,83,20,0.0,light rain,0.65,0.0
160,Matara,LK,2022-07-09 19:56:31,5.9485,80.5353,79.93,81,97,14.63,overcast clouds,0.0,0.0
161,Paamiut,GL,2022-07-09 19:56:31,61.994,-49.6678,39.69,93,100,10.18,overcast clouds,0.0,0.0
162,Beloha,MG,2022-07-09 19:56:32,-25.1667,45.05,63.07,56,0,9.55,clear sky,0.0,0.0
163,Sinnamary,GF,2022-07-09 19:51:25,5.3833,-52.95,76.21,90,100,7.49,overcast clouds,0.0,0.0
164,Egvekinot,RU,2022-07-09 19:53:10,66.3167,-179.1667,41.41,99,100,7.09,light rain,0.36,0.0
165,Tiznit,MA,2022-07-09 19:49:50,29.5833,-9.5,94.44,16,16,1.54,few clouds,0.0,0.0
166,Naryan-Mar,RU,2022-07-09 19:56:32,67.6713,53.087,53.65,82,12,7.34,few clouds,0.0,0.0
167,Grand Forks,US,2022-07-09 19:56:33,47.9417,-97.4337,85.78,58,67,15.73,broken clouds,0.0,0.0
168,Thinadhoo,MV,2022-07-09 19:56:33,0.5333,72.9333,82.76,75,87,10.18,overcast clouds,0.0,0.0
169,Riobamba,EC,2022-07-09 19:55:24,-1.6667,-78.6333,52.09,91,100,5.53,light rain,0.4,0.0
170,Hambantota,LK,2022-07-09 19:50:31,6.1241,81.1185,80.69,75,100,20.85,overcast clouds,0.0,0.0
171,Avarua,CK,2022-07-09 19:46:50,-21.2078,-159.775,75.25,60,99,12.66,overcast clouds,0.0,0.0
172,Pindiga,NG,2022-07-09 19:56:33,9.9833,10.9333,79.32,63,100,11.03,overcast clouds,0.0,0.0
173,Moerai,PF,2022-07-09 19:56:34,-22.4333,-151.3333,72.68,55,9,13.82,clear sky,0.0,0.0
174,Deep River,CA,2022-07-09 19:56:34,46.1001,-77.4995,72.95,32,8,5.88,clear sky,0.0,0.0
175,Kipushi,CD,2022-07-09 19:56:34,-11.7667,27.2333,62.55,48,84,9.91,broken clouds,0.0,0.0
176,Tiksi,RU,2022-07-09 19:49:38,71.6872,128.8694,51.62,59,99,9.06,overcast clouds,0.0,0.0
177,Ishigaki,JP,2022-07-09 19:45:39,24.3448,124.1572,82.53,89,21,8.05,few clouds,0.0,0.0
178,Kodiak,US,2022-07-09 19:50:34,57.79,-152.4072,54.91,88,100,13.8,overcast clouds,0.0,0.0
179,Hwange,ZW,2022-07-09 19:56:35,-18.3693,26.5019,60.37,54,0,2.3,clear sky,0.0,0.0
